time,date,subj,trial,game_id,cellorder,upper_left,upper_right,lower_left,lower_right,pressedkey,chosen_cells,play
1353946725.364,"2012-11-26 16:18:52",002848,4,3112,0123,"[90, 90]","[60, 30]","[30, 60]","[0, 0]",left,"0,2",NULL
1353946732.719,"2012-11-26 16:19:01",002848,5,4144,1032,"[20, 10]","[50, 50]","[40, 40]","[10, 20]",right,"0,2",NULL
1353946741.811,"2012-11-26 16:19:10",002848,6,3164,0123,"[70, 70]","[60, 30]","[30, 60]","[40, 40]",right,"1,3",NULL
1353946751.035,"2012-11-26 16:19:27",002848,7,1041,2301,"[30, 80]","[40, 40]","[50, 50]","[80, 30]",left,"2,0",NULL
1353946767.838,"2012-11-26 16:19:48",002848,8,2021,0123,"[50, 50]","[60, 10]","[10, 60]","[40, 40]",right,"1,3",NULL
1353946788.209,"2012-11-26 16:20:05",002848,9,2011,1032,"[60, 30]","[50, 50]","[40, 40]","[30, 60]",right,"0,2",NULL
1353946805.491,"2012-11-26 16:21:43",002848,10,4083,2301,"[50, 60]","[40, 40]","[50, 50]","[60, 50]",left,"2,0",NULL
1353946903.223,"2012-11-26 16:22:02",002848,11,1021,0123,"[50, 50]","[60, 30]","[30, 60]","[60, 60]",right,"1,3",NULL
1353946922.078,"2012-11-26 16:22:16",002848,12,3122,1032,"[60, 30]","[90, 90]","[20, 20]","[30, 60]",right,"0,2",NULL
1353946936.359,"2012-11-26 16:22:28",002848,13,3092,1032,"[60, 30]","[70, 70]","[20, 20]","[30, 60]",right,"0,2",NULL
1353946948.323,"2012-11-26 16:22:40",002848,14,1083,1032,"[60, 30]","[50, 50]","[20, 20]","[30, 60]",left,"1,3",NULL
1353946960.387,"2012-11-26 16:22:52",002848,15,4041,0123,"[50, 50]","[80, 30]","[30, 80]","[40, 40]",right,"1,3",NULL
1353946972.744,"2012-11-26 16:23:00",002848,16,1112,3210,"[0, 0]","[30, 20]","[20, 30]","[50, 50]",right,"2,0",NULL
1353946980.984,"2012-11-26 16:23:13",002848,17,2073,2301,"[70, 60]","[40, 40]","[50, 50]","[60, 70]",right,"3,1",NULL
1353946993.324,"2012-11-26 16:23:35",002848,18,2053,0123,"[30, 30]","[60, 50]","[50, 60]","[40, 40]",left,"0,2",NULL
1353947015.286,"2012-11-26 16:23:44",002848,19,3073,3210,"[0, 0]","[30, 60]","[60, 30]","[50, 50]",left,"3,1",NULL
1353947024.759,"2012-11-26 16:26:09",002848,20,3154,2301,"[30, 60]","[60, 60]","[70, 70]","[60, 30]",left,"2,0",NULL
